sample_rank,sample_group,random_seed,companies_house_validation_status,companies_house_number,format_status,supplier_name,ppon,website,appearance_count,source_notice_ids
1,development,20260818,not_checked,03949597,plausible,GO SOUTH COAST LIMITED,PBYL-1316-QQHJ,,1,061663-2026
2,development,20260818,not_checked,04429834,plausible,J C BALLS & SONS LIMITED,PLLL-4251-NTMY,,1,061698-2026
3,development,20260818,not_checked,07687679,plausible,AIM 2 LEARN LTD,PVQY-6273-LDPX,,1,061825-2026
4,development,20260818,not_checked,04933418,plausible,DRAIN LINE SOUTHERN LIMITED,PYHM-3571-LTRJ,,1,061698-2026
5,development,20260818,not_checked,07298409,plausible,APRICOT CENTRE CIC,PZDJ-7746-ZBQV,,1,061825-2026
6,development,20260818,not_checked,10900264,plausible,THE INTERNATIONAL EDUCATION GROUP LIMITED,PDMP-3177-CJGW,,1,061825-2026
7,development,20260818,not_checked,03240655,plausible,YOUNG DEVON,PXHG-4391-TWCW,,1,061825-2026
8,development,20260818,not_checked,03959121,plausible,HOUSE BUILDER XL LIMITED,PXTY-3595-ZNYP,,1,061825-2026
9,development,20260818,not_checked,FC033379,plausible,FIELD MANAGEMENT IRELAND (NORTHERN IRELAND),PVNV-7667-GYJG,,1,061761-2026
10,development,20260818,not_checked,04143823,plausible,DIGITAL PENINSULA NETWORK LIMITED,,,1,061825-2026
11,holdout,20260818,not_checked,13687587,plausible,Carbonaires Limited,,,1,061726-2026
12,holdout,20260818,not_checked,01392147,plausible,YTKO LIMITED,PZQN-9718-CMGY,,1,061825-2026
13,holdout,20260818,not_checked,03118260,plausible,TWIN TRAINING INTERNATIONAL LIMITED,PYLY-3825-NNCQ,,1,061825-2026
14,holdout,20260818,not_checked,01307015,plausible,Ever brite,,,1,061536-2026
15,holdout,20260818,not_checked,04078547,plausible,WAVEMAKER LIMITED,,,1,061819-2026
16,holdout,20260818,not_checked,05114567,plausible,PGL TRAINING (PLUMBING) LIMITED,PZXQ-5867-LQHY,,1,061825-2026
17,holdout,20260818,not_checked,06842550,plausible,SEMILONG SERVICES LIMITED,PHML-7357-JLQW,,1,061698-2026
18,holdout,20260818,not_checked,07483316,plausible,EAT THAT FROG C.I.C.,PBGT-3648-MMYY,,1,061825-2026
19,holdout,20260818,not_checked,09143451,plausible,KIWI & YUZU LTD,PHDD-1292-PNVM,,1,061825-2026
20,holdout,20260818,not_checked,12628673,plausible,3D 360 LIMITED,PDYW-8942-TZWH,,1,061825-2026
21,holdout,20260818,not_checked,03454405,plausible,ACCOUNTANCY LEARNING LTD,PXGV-3231-QCQV,,1,061825-2026
